id,image_feature
0,bottle indoor table sitting wine food glass plate red sandwich laying coffee white
1,indoor cabinet kitchen small refrigerator counter sitting white sink microwave wooden brown black steel stove mirror oven holding table stainless man standing room
2,bottle sitting table orange laying cellphone food phone empty can banana black fruit
3,screenshot abstract
4,sitting black table green man blue
5,indoor looking mirror head sitting brown standing holding man cat black wearing reflection table bear hat white stuffed perched room kitchen
6,bottle table sitting food cellphone phone orange beer counter restaurant refrigerator
7,person indoor hand small sitting man holding black white table phone laying remote blue
8,indoor table food sitting small plate plastic cake topped filled made pair holding blanket sandwich cheese cut white laying blue bed
9,indoor small white table room remote
10,person indoor electronics cellphone holding phone man computer hand photo table monitor white woman laying playing teeth
11,person indoor hand holding food sitting small table phone woman computer tattoo man white plate standing
12,person electronics remote calculator hand black holding game control man television sitting dog cellphone large playing video white wii
13,indoor bed laying sitting table orange lying brown white covered remote shirt
14,indoor sitting table black wooden computer laying white cat
15,indoor food sitting table white holding sink plate airplane
16,table standing man clock food phone
17,cake plate indoor table sitting food chocolate topped white close brown baked green coffee
18,indoor table desk sitting computer red office room white orange laptop keyboard counter various refrigerator kitchen wine holding man standing
19,red man white woman table court player holding standing ball people room
20,indoor sitting photo computer table laptop luggage suitcase laying room man white
21,thing sitting front clock woman water table holding someone computer black blurry white red
22,indoor kitchen food sitting table stove pot cooking pan black counter bowl computer plate oven standing man white blender
23,sign man large people red group food woman holding street standing
24,person indoor holding man hand black wearing remote woman white red video blue
25,indoor dog sitting looking cat front grey gray hat standing wearing large brown black white room table close living kitchen laying man
26,cellphone lit looking phone black screen holding sitting small food light table orange close room clock
27,black white sitting dark standing man large night flying laptop water table field woman room air player riding bed holding kite cat people airplane ball street plane
28,indoor sitting bicycle black table computer white desk view mirror mouse keyboard motorcycle man laying blue cat pizza plate
29,indoor sitting table cup monitor computer food black keyboard desk counter screen clock white coffee
30,thing light
31,monitor holding sign man screen white phone old display game
32,indoor table sitting room living wooden mirror view furniture large white computer man holding clock bed
33,indoor bottle sitting table cup toothbrush small close food white desk black open computer brush laptop laying keyboard cat sink kitchen
34,indoor sitting bed green laying remote lying cat game close control video playing blanket food black pair table red brush blue wii white
35,monitor screen computer television holding keyboard sitting white large black table blue man room clock cat
36,meter
37,indoor computer sitting table desk keyboard laptop black mouse front monitor water white phone desktop
38,indoor sitting table wooden black wood computer small laying close cat desk board laptop mouse keyboard white red room
39,photo food sitting fruit box table wooden black computer salad laying board holding
40,measure small sitting white close red food cake street bear sign
41,sitting food table sign
42,indoor white sink water tub airplane man standing room
43,black sitting yellow book close sign red white food blue
44,food table sitting box paper tray eaten pizza black different hot dog laying toppings fries sandwich hotdog
45,outdoor water blue flying large plane airplane air cloudy man kite ocean standing white surfing board beach holding woman riding bird jet people skiing red group wave playing sign tower
46,text indoor toothbrush holding hand brush teeth food brushing man laying red remote
47,text book sitting open man cat table holding phone
48,child little outdoor green small toy sitting grass boy hydrant young cake riding playing standing fire ball field white
49,indoor table bottle sitting holding small desk white phone man computer counter sink monitor laptop food water wine glass mirror woman room kitchen refrigerator laying standing bed
50,indoor table bottle sitting food wooden desk front computer small laptop kitchen cutting laying water lotion mouse keyboard blue sandwich cat man
51,indoor sitting small hand holding laying brush white man
52,indoor sitting book table white old laying phone plate
53,table indoor wooden sitting green laying suitcase phone clock luggage board standing oven cat kitchen
54,drawing
55,cup coffee sitting table front orange dark drinking glass food holding mug phone cat red white man game
56,indoor table sitting pair covered wooden man large holding white cutting cat standing laying clock group plate
57,indoor sitting keyboard computer electronics white mouse table black desk close laying remote control apple
58,bottle indoor sitting book food table laying open wine phone
59,indoor teddy bear stuffed sitting brown wearing lying bed head yellow laying orange holding black large red computer eyes white dog hat
60,indoor sitting table book bed green laying shirt white cat
61,indoor bottle sitting table food laying computer man sandwich
62,indoor table red sitting small computer white
63,indoor shelf sitting small refrigerator book kitchen room door table computer mirror sink desk white living
64,indoor sitting table food book small bowl orange filled black fruit close holding plate oranges phone laying white
65,indoor sitting table keyboard black desk small computer front monitor wooden cellphone laying holding man phone
66,
67,table
68,standing wearing man blurry white sign
69,indoor table cup sitting food small counter items filled white desk kitchen computer sink refrigerator blender
70,dark monitor screen sign close light clock blue time street phone black television holding large red white player night room remote meter
71,food
72,indoor bottle cup table food coffee computer sitting keyboard small donut desk plate can laptop sandwich kitchen white eating red mouse hotdog phone standing
73,indoor sitting cup table orange food small dog donut hot yellow desk eating holding cat computer laying bed kitchen
74,red food sitting table can close yellow plate
75,indoor person food kitchen table red small sitting plate man holding wearing young standing woman eating dog bed cat room white bottle phone
76,indoor sitting table bed small white wooden food room laying kitchen
77,indoor table computer keyboard desk sitting laptop black food mouse desktop laying monitor white remote dog bed
78,indoor table cup sitting coffee food bottle can small glass counter front computer desk keyboard green white laptop sandwich black wooden phone red cat kitchen plate laying
79,indoor black table sitting leather laying close bed green bag plate white sleeping cat phone remote
80,indoor looking bed sitting cat laying front feet standing room lying table black head mirror television white shoes wearing man large sleeping dog living blue
81,indoor object thing table sitting computer lamp room desk lit laptop small keyboard light living black dark wooden remote bed laying red cat phone white standing
82,indoor person table food sitting holding box woman coffee man
83,indoor sitting table laptop television monitor small computer room desk screen cat living large oven standing stereo laying video
84,outdoor fence building table sitting chair orange small dog green laying wooden bed bench cat young white woman room sleeping man standing living
85,indoor sitting cup table food small white computer filled glass red desk laptop kitchen cat
86,clothing person indoor man sitting wearing cellphone cat white phone gray curtain shirt standing closed grey suit shower black table glasses sleeping laying bed red neck head holding blue remote plate brushing room
87,sitting black dark large holding table flying man white standing water computer room air red airplane
88,person indoor sitting laptop table man hand holding small using young phone computer remote boy woman playing game bed blue
89,person indoor holding hand man small food front white table kitchen standing wearing green phone bottle coffee cup remote glass
90,cabinet kitchen indoor counter oven sitting food stove microwave cooking table hot wooden black steel white stainless sink pan refrigerator
91,outdoor grass street man riding large board tree park young walking train flying road track water air sign red standing city field parked
92,outdoor grass car road parked street long filled lined city driving traveling side many large traffic motorcycle park bus bridge track riding people river
93,indoor car sitting motorcycle bicycle small sink black man oven luggage suitcase stove standing white kitchen engine parked laying
94,person thing blue holding game yellow table ball mirror
95,indoor sitting white table brown lotion red man bottle phone
96,indoor person sitting table laptop computer desk small book food black phone woman keyboard holding man baby mouse laying playing bed white
97,bottle sitting beverage outdoor food car table cup meter orange parking coffee red
98,text newspaper
99,bottle indoor sitting food table close pizza wine black red holding laying phone
100,food lotion bottle
101,indoor wearing looking sitting yellow toy laptop cat face black colorful computer holding head man laying hat mouth blue playing
102,sweater old
103,sitting
104,cup table coffee indoor sitting laptop computer glass food desk keyboard plate sandwich hot white blue
105,indoor table sitting black small monitor white laptop desk computer television cat man dog standing laying kitchen plate
106,man sweater sitting side standing shirt table riding white board street blue hat cat phone room
107,person holding hand small green phone cellphone food plastic screen close man held lotion table remote
108,table food sitting green wooden piece paper cake plate
109,indoor sitting table computer keyboard desk black white wooden food light laying laptop knife board bed plate
110,indoor sitting monitor man black light white night door oven red kitchen water standing air train blue doing room
111,person table bottle sitting holding hand food front wine glass small man drinking half woman baby red sandwich wearing water eating standing kitchen phone coffee
112,red food table sitting white blanket phone covered colorful old laying bed pink remote plate
113,indoor desk computer table keyboard monitor sitting office desktop black mouse white laptop wooden red
114,food
115,indoor sitting different table food white
116,indoor pair shoes woman wearing red cellphone hair phone bag sitting blanket pink feet girl hat holding white laying old table head umbrella bed cat
117,outdoor building sitting street sign car blue side black meter box close parking old standing city bus white
118,indoor table sitting laptop computer small phone desk screen food blue white
119,indoor sitting television room living small laying monitor bed front dog video man lying cat playing standing white young holding table game wii remote bedroom sleeping computer
120,indoor person holding sitting hand front small microwave kitchen man table standing counter remote white woman refrigerator phone plate
121,monitor computer screen black white holding television remote keyboard bear
122,indoor person clothing man wearing white standing sweater shirt black glasses suit holding table laying phone red bed cat room
123,indoor sitting room small white table mirror standing bed young man bedroom laying
124,indoor sitting monitor table black screen lotion food close phone bottle mug cat
125,indoor sitting table hand close computer keyboard laptop laying phone holding teeth
126,person looking front sitting cat orange holding man yellow table laptop computer phone standing
127,indoor red sitting white bed black laptop computer room light table lit cat standing man laying blue
128,keyboard computer indoor electronics sitting mouse white desk laptop close
129,person indoor child young little small sitting bed boy holding playing laying man shirt green blue purple baby woman game ball standing white
130,indoor bed television room sitting monitor small dark light screen mirror white table bedroom laying
131,toothbrush food brush
132,electronics indoor sitting cellphone table front phone black small yellow different holding clock display old room man
133,text book indoor sitting photo front table laptop sign holding man red
134,bottle indoor table sitting banana food counter open laying wine empty desk glass black kitchen sandwich computer phone
135,indoor small white sitting man black holding table bed yellow room woman standing mirror cat sleeping blue laying
136,indoor sitting table bottle food glass wine laying sandwich room plate phone bear people
137,sofa indoor person sitting living room leather chair table brown holding video playing using remote red young game man control woman standing computer seat cat laying
138,cup red food sign sitting black close orange stop man white blue people
139,person indoor holding hand small food sitting table glass black close green wine man red coffee phone
140,food indoor plate table cake sitting red small black white
141,food glass
142,indoor sitting laying bed toothbrush cat food brush woman lying holding teeth table close man pink white phone mirror brushing sink red sleeping room
143,indoor table sitting counter white sink
144,indoor small sitting refrigerator box table microwave white bed cat laying holding food man
145,bottle person indoor table sitting food wine man holding water blue open empty sandwich glass drinking black computer cat hat fruit phone standing
146,table indoor bottle sitting cup food wooden glass desk laying lotion water phone pizza plate
147,indoor filled sitting man table refrigerator counter large kitchen standing holding cooking white airplane plane display room
148,person indoor teeth man brushing tattoo mouth white close black holding wearing shirt young brush woman cutting food cat
149,clock indoor monitor sitting white black red mounted time green different close hanging large ball room display standing man game
150,small sitting cup table red front little black dog food holding man standing woman white
151,indoor sitting remote table control food video white holding laying computer game man bed coffee
152,food frisbee
153,bottle indoor table sitting laying wine food book banana beer empty lying cheese pizza
154,indoor sitting table small red room white food glass large laying living cat bed
155,person man colorful sitting parrot holding close green someone wearing bird woman game laying head dog playing food phone video
156,object thing sitting light
157,book indoor sitting small open black surface laying counter close empty brush table cat stack bowl food clock phone
158,person hand holding indoor small table food piece someone close half black cutting wooden man
159,food sitting table brush phone
160,indoor table sitting food wooden green small computer oranges sandwich fruit phone cake kitchen pizza
161,indoor sitting yellow looking dog brown wearing table standing front head large black desk room bed seat white cat
162,person outdoor feet shoes wearing legs standing foot man holding sitting hand striped young red woman pair leather white someone shirt black girl tattoo phone blue brick laying purple street riding
163,table indoor sitting book black desk computer laying keyboard laptop phone mouse cat
164,indoor monitor laptop phone computer table small sitting desk cellphone red front remote screen video holding control room television man white game keyboard standing young bed mouse playing
165,person elephant man looking standing holding front wearing camera small face gray head close grey mouth hair yellow eyes cat bird red flower
166,indoor sitting table black counter red white
167,indoor food bottle sitting table box dog sandwich laying pizza hot counter plate eating banana white holding woman cheese man hotdog kitchen refrigerator cat
168,bottle cup sitting coffee table photo food white mug plate
169,red stop fabric covered white room
170,indoor cup table bottle food sitting small can coffee glass kitchen counter plastic close cat holding blender laying
171,indoor sitting small food close table bottle white blurry
172,sitting book food black sign laying
173,person holding hand table man small woman young plate eating pizza sandwich computer
174,indoor photo sitting man white holding black food plate table refrigerator cat sign room
175,indoor television monitor electronics video game playing screen room sitting living computer man baseball holding standing white wii people
176,food table sitting cake fruit display
177,indoor green sitting food laying lotion small table book old bed room white
178,sitting food book small lotion black white table laying plate cake pizza bed cup
179,indoor yellow sitting table bed mirror room laptop laying light man holding woman bedroom sink living kitchen standing phone white luggage
180,monitor indoor electronics laptop computer screen sitting table open small black desk cat white display room
181,building sitting table floor computer black laptop large man cat white standing
182,indoor sitting table small laying food dog green holding man bed cat yellow kitchen white standing room plate
183,person indoor small holding little food woman sitting young boy child front table kitchen plate baby girl eating white dog wearing standing cake playing pizza sink blue teeth bear
184,outdoor standing sitting man laying street black holding green riding people phone dog white group parked cat city
185,indoor table sitting bag filled items food plastic covered orange black cake sandwich birthday laying
186,indoor blue monitor sitting small racket screen black table woman player white ball holding apple television cat playing man purple standing video blurry court clock laying game room bed
187,indoor sitting table doughnut donut book small orange food hand piece holding phone plate
188,electronics indoor keyboard computer sitting white light photo mouse desk man orange table airplane
189,indoor room table sitting living wooden large television white standing mirror remote man plane game video
190,person indoor table sitting holding book food pizza woman donut phone plate eating refrigerator man cake laying
191,indoor table laptop sitting room computer white view desk television light large mirror kitchen bed air
192,bottle indoor table sitting food banana green computer glass fruit sandwich plate oranges
193,indoor sitting table bowl close food glass plate seen woman holding man white clock blue blurry
194,sitting piece close table stop sign laying white man
195,sitting table cellphone paper phone holding laying white
196,indoor person table bottle sitting food small holding cake baby plate woman man birthday white eating phone mug cat laying bear
197,indoor food sitting red microwave table counter sign white kitchen refrigerator phone blender laying
198,indoor person bottle sitting table hand food small desk front holding wine close phone sandwich
199,
200,text table sitting paper laying
201,table electronics sitting wooden black cellphone holding laying player phone
202,electronics monitor computer laptop sitting table screen keyboard phone
203,thing toiletry indoor bottle lotion blue sitting sink black water white cat refrigerator standing green holding mirror man woman room brush shower
204,sign red black front food close sitting table restaurant holding man plate white room
205,outdoor standing field man white riding street young black boy woman old people walking flying board group dirt horse air beach
206,indoor food sitting table close plate pizza white restaurant sandwich red holding street coffee
207,person indoor holding bottle table food hand woman cutting man kitchen young little shirt pizza white remote standing plate
208,person indoor man looking sitting front wearing young head white holding room standing woman blurry living cat playing
209,sitting small yellow court white man black walking holding ball young standing dog red swinging player woman towel playing laying street riding bag field room hydrant air game parked
210,person bottle table indoor water food sitting man small holding computer desk blue laptop sandwich woman standing people cutting pizza bed laying phone playing
211,sitting black dark looking white laptop front computer light lit holding room large table standing cat night bed man sign
212,indoor sitting green table close plastic black laying lotion food
213,indoor sitting table red laying book small orange food bed plate pink phone bag
214,cup food sitting table filled donut glass cake sign man white
215,cabinet indoor refrigerator kitchen open food sitting room door white large man oven woman living red stove pizza fire standing
216,indoor red sitting table close bed room large holding man shirt cat standing white laying
217,light dark computer sitting man monitor lit laptop night bed room white screen keyboard holding desk sun air standing riding bedroom airplane blue traffic
218,person table striped small sitting black man holding zebra phone woman young white blue
219,table sitting street bird city white blue
220,sitting small black red view close silver white
221,bottle table food sitting small wooden orange laying phone red white
222,indoor keyboard computer table mouse sitting desk game black remote laying video
223,sitting book food table control laying bottle remote
224,monitor television screen sitting large photo computer table black room flat man desk laptop white cat standing
225,bottle thing sitting black food mug table wine red clock
226,indoor car oven sitting stove machine white room kitchen train display sink
227,table sitting white light
228,abstract food
229,indoor person table small holding food little child sitting hand cake phone eating boy young plate coffee kitchen room man
230,teddy bear rug snow stuffed sitting cat laying covered sheep close wearing bed suit white old holding standing wave bird group man brush riding sugar
231,indoor table sitting building small floor green wooden food brown white man bowl computer cake room cat blue
232,black computer player airplane
233,monitor sitting computer front laptop screen black large dark white sign street man holding red traffic room
234,sitting monitor black table screen player computer white standing large ball light television phone room playing
235,sign bottle phone holding street
236,indoor thing car sitting black monitor clock close table microwave oven kitchen silver red blue train meter light laying white
237,indoor table sitting wearing pair pink white
238,orange sitting food sign table close man phone holding red
239,indoor table sitting wooden white small red room cat
240,white sitting small sink water kitchen clock
241,indoor table computer keyboard sitting small desk mouse black holding white man blue game playing
242,laying sitting bag lying blanket small red black cat painted pair white table bed luggage
243,indoor table sitting small food white wooden plate laying cake bowl kitchen pizza cat man oven room
244,cup indoor table food sitting glass white counter filled orange glasses close keyboard plate computer oranges phone blue
245,indoor sitting bottle table cup food open small filled empty counter black half glass close microwave computer kitchen white laying plate cat blender
246,person indoor apple holding fruit hand green man front mirror woman face head young teeth remote video cat brushing
247,indoor sitting cellphone phone table small old counter device wooden microwave laying green suitcase silver computer oven
248,cup table indoor sitting coffee food wooden keyboard banana desk computer half bowl plate glass laying white soup
249,sitting table food paper white
250,food table cake sitting donut painted birthday sign plate graffiti
251,monitor screen sitting player television blue silver table holding computer phone white
252,sitting table front computer laptop light screen black sign glass keyboard red desk man phone pizza white display holding food room star standing
253,food indoor table sitting box filled counter pasta plate board fruit cutting
254,indoor sitting table white black counter bowl food room mirror seat blender bottle sink dirty red
255,clothing sweater man wearing gray shirt standing grey cat red suit white phone
